,Suburb,Address,Rooms,Type,Price,Method,SellerG,Date,Distance,Postcode,Bedroom2,Bathroom,Car,Landsize,BuildingArea,YearBuilt,CouncilArea,Lattitude,Longtitude,Regionname,Propertycount
2276,Elwood,5/3 Ruskin St,2,u,825000.0,S,McGrath,7/11/2016,7.7,3184.0,2.0,1.0,2.0,0.0,86.0,1930.0,Port Phillip,-37.874,144.9819,Southern Metropolitan,8989.0
2280,Elwood,2/147 Glen Huntly Rd,1,u,485000.0,S,Buxton,8/10/2016,7.7,3184.0,1.0,1.0,1.0,0.0,43.0,1970.0,Port Phillip,-37.8831,144.9918,Southern Metropolitan,8989.0
2284,Elwood,76 Byron St,3,h,1238000.0,S,Buxton,11/02/2017,7.7,3184.0,3.0,2.0,1.0,116.0,119.0,1996.0,Port Phillip,-37.8789,144.9836,Southern Metropolitan,8989.0
2288,Elwood,32 Burns St,4,h,1875000.0,S,Pride,12/11/2016,7.7,3184.0,4.0,2.0,0.0,223.0,173.0,1910.0,Port Phillip,-37.882,144.993,Southern Metropolitan,8989.0
2292,Elwood,5 Tiuna Gr,3,h,3572000.0,S,Marshall,12/11/2016,7.7,3184.0,4.0,2.0,6.0,737.0,207.0,1915.0,Port Phillip,-37.8839,144.9831,Southern Metropolitan,8989.0
2296,Elwood,17 Addison St,3,h,1700000.0,S,Chisholm,16/04/2016,7.7,3184.0,3.0,2.0,2.0,316.0,,1910.0,Port Phillip,-37.875,144.9813,Southern Metropolitan,8989.0
2300,Elwood,3/145 Glen Huntly Rd,2,u,670000.0,S,Buxton,16/07/2016,7.7,3184.0,2.0,2.0,1.0,0.0,84.0,1970.0,Port Phillip,-37.883,144.9916,Southern Metropolitan,8989.0
2304,Elwood,9/2 Alfriston St,1,u,369000.0,S,hockingstuart,18/03/2017,7.7,3184.0,1.0,1.0,1.0,1547.0,,1970.0,Port Phillip,-37.8749,144.9903,Southern Metropolitan,8989.0
2308,Elwood,2/129 Brighton Rd,2,u,684000.0,SP,McGrath,19/11/2016,7.7,3184.0,2.0,1.0,0.0,0.0,98.0,1930.0,Port Phillip,-37.875,144.991,Southern Metropolitan,8989.0
2312,Elwood,5/9 Dickens St,2,u,600000.0,S,hockingstuart,24/09/2016,7.7,3184.0,2.0,1.0,1.0,0.0,75.0,1960.0,Port Phillip,-37.8715,144.9873,Southern Metropolitan,8989.0
2316,Elwood,3/211 Brighton Rd,1,u,390000.0,VB,hockingstuart,25/02/2017,7.7,3184.0,1.0,1.0,1.0,644.0,47.0,1960.0,Port Phillip,-37.8798,144.994,Southern Metropolitan,8989.0
2320,Elwood,1/40 Ormond Rd,1,u,470000.0,SP,hockingstuart,25/02/2017,7.7,3184.0,1.0,1.0,1.0,900.0,,,Port Phillip,-37.8839,144.9848,Southern Metropolitan,8989.0
2324,Elwood,1/6 Wave St,1,u,347000.0,S,Gary,25/02/2017,7.7,3184.0,1.0,1.0,1.0,0.0,37.0,1970.0,Port Phillip,-37.8839,144.9903,Southern Metropolitan,8989.0
2328,Elwood,53 Addison St,4,h,1875000.0,VB,Chisholm,27/06/2016,7.7,3184.0,3.0,3.0,0.0,235.0,211.0,2005.0,Port Phillip,-37.8775,144.9808,Southern Metropolitan,8989.0
2332,Elwood,1/127 Glen Huntly Rd,2,u,687500.0,S,Marshall,27/06/2016,7.7,3184.0,2.0,1.0,1.0,0.0,69.0,1930.0,Port Phillip,-37.8828,144.9899,Southern Metropolitan,8989.0
2336,Elwood,4/79 Mitford St,3,t,920000.0,PI,McGrath,27/11/2016,7.7,3184.0,3.0,2.0,2.0,758.0,18.0,2010.0,Port Phillip,-37.8768,144.9845,Southern Metropolitan,8989.0
2340,Essendon,6 Buckley St,3,h,1425000.0,S,Jellis,3/09/2016,8.0,3040.0,3.0,2.0,2.0,684.0,147.0,1950.0,Moonee Valley,-37.7585,144.9317,Western Metropolitan,9264.0
2344,Essendon,16 Kendall St,3,h,1295000.0,PI,Nelson,3/12/2016,8.0,3040.0,3.0,1.0,3.0,688.0,105.0,1930.0,Moonee Valley,-37.7578,144.9317,Western Metropolitan,9264.0
2348,Essendon,15 Albion St,4,h,900000.0,SP,Nelson,4/03/2017,8.0,3040.0,4.0,2.0,1.0,288.0,210.0,1980.0,Moonee Valley,-37.7562,144.9286,Western Metropolitan,9264.0
2352,Essendon,3/10 Kendall St,2,u,702500.0,S,Nelson,4/03/2017,8.0,3040.0,2.0,1.0,1.0,168.0,77.0,2008.0,Moonee Valley,-37.758,144.9311,Western Metropolitan,9264.0
2356,Essendon,55 Richardson St,4,h,1800000.0,S,Nelson,4/06/2016,8.0,3040.0,3.0,2.0,2.0,648.0,215.0,1910.0,Moonee Valley,-37.7493,144.9112,Western Metropolitan,9264.0
2360,Essendon,1/10 Loeman St,2,u,370000.0,PI,Hodges,7/11/2016,8.0,3040.0,2.0,1.0,3.0,0.0,55.0,1975.0,Moonee Valley,-37.7569,144.9256,Western Metropolitan,9264.0
2364,Essendon,4 Agatha St,3,h,1240000.0,S,Nelson,8/10/2016,8.0,3040.0,3.0,2.0,2.0,307.0,,,Moonee Valley,-37.7543,144.9249,Western Metropolitan,9264.0
2368,Essendon,6/4 Ballater St,2,u,521000.0,S,Nelson,10/09/2016,8.0,3040.0,2.0,1.0,1.0,0.0,,1970.0,Moonee Valley,-37.7504,144.9051,Western Metropolitan,9264.0
2372,Essendon,8 Monica St,6,h,2620000.0,S,Brad,10/12/2016,8.0,3040.0,6.0,4.0,2.0,860.0,355.0,1930.0,Moonee Valley,-37.7484,144.9025,Western Metropolitan,9264.0
2376,Essendon,1/155 Deakin St,3,h,897000.0,S,Frank,11/02/2017,8.0,3040.0,3.0,1.0,2.0,226.0,,2000.0,Moonee Valley,-37.7393,144.8931,Western Metropolitan,9264.0
2380,Essendon,1 McCarron Pde,4,h,1775000.0,S,Nelson,12/06/2016,8.0,3040.0,3.0,2.0,2.0,725.0,,,Moonee Valley,-37.7551,144.9047,Western Metropolitan,9264.0
2384,Essendon,125a Ogilvie St,4,h,1590000.0,S,Nelson,12/11/2016,8.0,3040.0,4.0,3.0,1.0,475.0,272.0,2007.0,Moonee Valley,-37.7418,144.8938,Western Metropolitan,9264.0
2388,Essendon,5/322 Buckley St,2,u,460000.0,S,Nelson,14/05/2016,8.0,3040.0,2.0,1.0,1.0,0.0,72.0,1960.0,Moonee Valley,-37.7545,144.8964,Western Metropolitan,9264.0
2392,Essendon,3/134 Cooper St,2,u,585000.0,VB,Nelson,15/10/2016,8.0,3040.0,2.0,1.0,1.0,160.0,,,Moonee Valley,-37.7421,144.8995,Western Metropolitan,9264.0
2396,Essendon,33 McCarron Pde,4,h,1635000.0,VB,Nelson,15/10/2016,8.0,3040.0,4.0,1.0,2.0,638.0,227.0,1900.0,Moonee Valley,-37.7523,144.9052,Western Metropolitan,9264.0
2400,Essendon,130 Tennyson St,2,h,1001000.0,S,Jellis,15/10/2016,8.0,3040.0,2.0,1.0,2.0,244.0,,1915.0,Moonee Valley,-37.7543,144.9307,Western Metropolitan,9264.0
2404,Essendon,9/160 Napier St,1,u,280000.0,SP,Pagan,16/04/2016,8.0,3040.0,1.0,1.0,1.0,0.0,49.0,1960.0,Moonee Valley,-37.7475,144.9194,Western Metropolitan,9264.0
2408,Essendon,20 Warner St,2,h,890000.0,PI,Nelson,16/04/2016,8.0,3040.0,2.0,1.0,1.0,649.0,108.0,1950.0,Moonee Valley,-37.7445,144.9133,Western Metropolitan,9264.0
2412,Essendon,49 Albion St,3,h,1134000.0,S,Barry,17/09/2016,8.0,3040.0,3.0,1.0,1.0,551.0,114.0,1950.0,Moonee Valley,-37.7571,144.9335,Western Metropolitan,9264.0
2416,Essendon,2 McHale Ct,2,h,1065000.0,VB,Nelson,17/09/2016,8.0,3040.0,2.0,1.0,2.0,477.0,143.0,1960.0,Moonee Valley,-37.7503,144.911,Western Metropolitan,9264.0
2420,Essendon,24A Daisy St,2,h,930000.0,S,Barry,18/03/2017,8.0,3040.0,2.0,1.0,2.0,225.0,107.0,1990.0,Moonee Valley,-37.7548,144.9113,Western Metropolitan,9264.0
2424,Essendon,53A Market St,3,h,1050000.0,S,Nelson,18/03/2017,8.0,3040.0,3.0,1.0,1.0,420.0,,,Moonee Valley,-37.7441,144.9041,Western Metropolitan,9264.0
2428,Essendon,59 Brewster St,3,h,1475000.0,PI,Paul,18/06/2016,8.0,3040.0,3.0,1.0,2.0,388.0,,1910.0,Moonee Valley,-37.7508,144.9163,Western Metropolitan,9264.0
2432,Essendon,1/16 Leake St,4,u,1170000.0,SP,Barry,19/11/2016,8.0,3040.0,4.0,2.0,2.0,0.0,180.0,2013.0,Moonee Valley,-37.7465,144.91,Western Metropolitan,9264.0
2436,Essendon,4/20 William St,2,u,435000.0,S,Nelson,19/11/2016,8.0,3040.0,2.0,1.0,1.0,0.0,66.0,1970.0,Moonee Valley,-37.7461,144.9079,Western Metropolitan,9264.0
2440,Essendon,3/136 Hoffmans Rd,2,u,405000.0,S,Nelson,24/09/2016,8.0,3040.0,2.0,1.0,1.0,121.0,,1970.0,Moonee Valley,-37.7401,144.8923,Western Metropolitan,9264.0
2444,Essendon,8/19 Fletcher St,2,u,370000.0,VB,Rendina,25/02/2017,8.0,3040.0,2.0,1.0,0.0,0.0,,,Moonee Valley,-37.7558,144.9233,Western Metropolitan,9264.0
2448,Essendon,8 Buckley St,3,h,1330000.0,S,Barry,26/07/2016,8.0,3040.0,3.0,1.0,4.0,687.0,,,Moonee Valley,-37.7585,144.9316,Western Metropolitan,9264.0
2452,Essendon,9 Mountain St,6,h,1800000.0,VB,Joe,27/06/2016,8.0,3040.0,7.0,2.0,2.0,870.0,,,Moonee Valley,-37.7517,144.9018,Western Metropolitan,9264.0
2456,Essendon,16 Cliff St,3,h,1630000.0,S,Nelson,27/11/2016,8.0,3040.0,3.0,2.0,2.0,563.0,,,Moonee Valley,-37.7579,144.9114,Western Metropolitan,9264.0
2460,Essendon,1/1 Thomson St,2,u,630000.0,S,Nelson,27/11/2016,8.0,3040.0,2.0,1.0,1.0,0.0,83.0,1975.0,Moonee Valley,-37.7543,144.9066,Western Metropolitan,9264.0
2464,Essendon,5 Raleigh St,3,h,1290000.0,S,Nelson,28/05/2016,8.0,3040.0,3.0,1.0,2.0,605.0,,,Moonee Valley,-37.7541,144.9265,Western Metropolitan,9264.0
2468,Essendon,118 Buckley St,3,h,1100000.0,PI,Raine,28/08/2016,8.0,3040.0,3.0,1.0,2.0,0.0,700.0,1915.0,Moonee Valley,-37.7566,144.9155,Western Metropolitan,9264.0
2472,Essendon,33 Ogilvie St,4,h,1113000.0,S,Brad,28/08/2016,8.0,3040.0,3.0,1.0,2.0,533.0,127.0,1950.0,Moonee Valley,-37.7509,144.8922,Western Metropolitan,9264.0
2476,Essendon North,2/17 Bulla Rd,2,u,396000.0,S,Barry,3/09/2016,9.4,3041.0,2.0,1.0,1.0,0.0,56.0,1975.0,Moonee Valley,-37.7428,144.9086,Western Metropolitan,1308.0
2480,Essendon North,11 Duffy St,3,h,1320000.0,S,Brad,14/05/2016,9.4,3041.0,3.0,1.0,1.0,766.0,,,Moonee Valley,-37.7388,144.9006,Western Metropolitan,1308.0
2484,Essendon North,2/31 Greville St,3,u,765000.0,S,Nelson,19/11/2016,9.4,3041.0,3.0,2.0,1.0,0.0,134.0,2002.0,Moonee Valley,-37.7364,144.8977,Western Metropolitan,1308.0
2488,Fairfield,150 Gillies St,3,h,1250000.0,VB,Jellis,3/09/2016,5.8,3078.0,3.0,2.0,0.0,327.0,144.0,1910.0,Darebin,-37.7723,145.0179,Northern Metropolitan,2970.0
2492,Fairfield,229 Rathmines St,2,h,1220000.0,S,Jellis,7/05/2016,5.8,3078.0,2.0,1.0,2.0,537.0,92.0,1950.0,Darebin,-37.7689,145.0177,Northern Metropolitan,2970.0
2496,Fairfield,3/260 Rathmines St,3,t,846000.0,SP,Love,8/10/2016,5.8,3078.0,3.0,1.0,1.0,185.0,107.0,1990.0,Darebin,-37.7665,145.0175,Northern Metropolitan,2970.0
2500,Fairfield,3/18 Gillies St,2,u,730000.0,S,Jellis,11/02/2017,5.8,3078.0,2.0,1.0,1.0,116.0,,1985.0,Darebin,-37.7818,145.0161,Northern Metropolitan,2970.0
2504,Fairfield,1/72 Rathmines St,2,u,510000.0,S,hockingstuart,18/03/2017,5.8,3078.0,2.0,1.0,1.0,1658.0,68.0,1970.0,Darebin,-37.7781,145.0157,Northern Metropolitan,2970.0
2508,Fairfield,52 Rayment St,3,h,1350000.0,VB,Nelson,19/11/2016,5.8,3078.0,3.0,1.0,4.0,553.0,109.0,1930.0,Darebin,-37.7728,145.0214,Northern Metropolitan,2970.0
2512,Fairfield,4/224 Arthur St,2,t,805000.0,S,McGrath,24/09/2016,5.8,3078.0,2.0,1.0,1.0,140.0,2.0,2008.0,Darebin,-37.7697,145.0203,Northern Metropolitan,2970.0
2516,Fairfield,1/203 Station St,2,u,600000.0,VB,Jellis,27/11/2016,5.8,3078.0,2.0,1.0,2.0,0.0,75.0,1970.0,Darebin,-37.7732,145.0193,Northern Metropolitan,2970.0
2520,Fairfield,147 Gillies St,3,h,1375000.0,S,McGrath,28/08/2016,5.8,3078.0,3.0,1.0,1.0,496.0,122.0,1910.0,Darebin,-37.7737,145.018,Northern Metropolitan,2970.0
2524,Fitzroy,502/69 Victoria St,2,u,692000.0,S,Nelson,7/05/2016,1.6,3065.0,2.0,1.0,1.0,0.0,,,Yarra,-37.7988,144.9772,Northern Metropolitan,5825.0
2528,Fitzroy,1/59 Leicester St,3,t,1520000.0,S,Jellis,12/11/2016,1.6,3065.0,3.0,2.0,2.0,0.0,,,Yarra,-37.7951,144.9776,Northern Metropolitan,5825.0
2532,Fitzroy,258 Napier St,3,h,2200000.0,VB,Nelson,16/04/2016,1.6,3065.0,3.0,2.0,1.0,187.0,,,Yarra,-37.8003,144.9806,Northern Metropolitan,5825.0
2536,Fitzroy,31 Bell St,4,h,1950000.0,S,Nelson,18/06/2016,1.6,3065.0,4.0,1.0,0.0,177.0,152.0,1890.0,Yarra,-37.7999,144.9759,Northern Metropolitan,5825.0
2540,Fitzroy,60 Bell St,4,h,1620000.0,S,Nelson,22/05/2016,1.6,3065.0,3.0,2.0,1.0,132.0,165.0,1880.0,Yarra,-37.8004,144.9768,Northern Metropolitan,5825.0
2544,Fitzroy,84 Kerr St,2,h,1122000.0,S,Nelson,22/08/2016,1.6,3065.0,2.0,1.0,0.0,106.0,101.0,1890.0,Yarra,-37.7968,144.9781,Northern Metropolitan,5825.0
2548,Fitzroy,101/416 Gore St,2,u,715000.0,S,Nelson,26/07/2016,1.6,3065.0,2.0,1.0,1.0,0.0,74.0,1900.0,Yarra,-37.7967,144.9836,Northern Metropolitan,5825.0
2552,Fitzroy,6/226 Moor St,2,u,630000.0,VB,hockingstuart,27/06/2016,1.6,3065.0,2.0,1.0,1.0,0.0,70.0,2007.0,Yarra,-37.8024,144.9835,Northern Metropolitan,5825.0
2556,Fitzroy North,470 Brunswick St,2,h,860000.0,S,Woodards,3/09/2016,3.5,3068.0,2.0,1.0,0.0,104.0,70.0,1880.0,Yarra,-37.7927,144.9796,Northern Metropolitan,6244.0
2560,Fitzroy North,186 Queens Pde,2,t,930000.0,S,Nelson,3/09/2016,3.5,3068.0,2.0,3.0,0.0,2778.0,3558.0,,Yarra,-37.7903,144.9859,Northern Metropolitan,6244.0
2564,Fitzroy North,24 Taylor St,3,h,1000000.0,VB,Nelson,4/03/2017,3.5,3068.0,3.0,1.0,0.0,249.0,,,Yarra,-37.7754,144.9806,Northern Metropolitan,6244.0
2568,Fitzroy North,780 Brunswick St,3,h,1371000.0,S,Nelson,10/09/2016,3.5,3068.0,2.0,1.0,1.0,197.0,128.0,1900.0,Yarra,-37.7835,144.9816,Northern Metropolitan,6244.0
2572,Fitzroy North,201A Clauscen St,3,h,1286000.0,S,Holland,10/12/2016,3.5,3068.0,3.0,1.0,0.0,275.0,116.0,1915.0,Yarra,-37.7779,144.9862,Northern Metropolitan,6244.0
2576,Fitzroy North,13 Alister St,5,h,2875000.0,S,Nelson,11/03/2017,3.5,3068.0,5.0,2.0,3.0,818.0,,,Moreland,-37.7749,144.9864,Northern Metropolitan,6244.0
2580,Fitzroy North,70 Park St,4,h,1785000.0,S,Nelson,14/05/2016,3.5,3068.0,4.0,2.0,1.0,188.0,165.0,1900.0,Yarra,-37.7815,144.9869,Northern Metropolitan,6244.0
2584,Fitzroy North,282 Glenlyon Rd,3,h,1141000.0,S,Nelson,16/04/2016,3.5,3068.0,2.0,1.0,1.0,378.0,,,Moreland,-37.7739,144.9819,Northern Metropolitan,6244.0
2588,Fitzroy North,8/3 Miller St,2,t,750000.0,S,Woodards,18/03/2017,3.5,3068.0,2.0,2.0,2.0,0.0,95.0,2002.0,Yarra,-37.7761,144.9792,Northern Metropolitan,6244.0
2592,Fitzroy North,30 Eastham St,2,h,875000.0,S,Jellis,18/06/2016,3.5,3068.0,2.0,1.0,0.0,106.0,,,Yarra,-37.7823,144.9864,Northern Metropolitan,6244.0
2596,Fitzroy North,8/54 Kneen St,1,u,330000.0,VB,Jellis,19/11/2016,3.5,3068.0,1.0,1.0,1.0,0.0,,1970.0,Yarra,-37.782,144.9896,Northern Metropolitan,6244.0
2600,Fitzroy North,181 Rae St,2,h,937500.0,S,Jellis,23/04/2016,3.5,3068.0,2.0,1.0,0.0,100.0,72.0,1890.0,Yarra,-37.788,144.9791,Northern Metropolitan,6244.0
2604,Fitzroy North,49 Best St,4,h,2300000.0,S,Nelson,27/11/2016,3.5,3068.0,4.0,2.0,1.0,197.0,,,Yarra,-37.7828,144.9832,Northern Metropolitan,6244.0
2608,Fitzroy North,205 Scotchmer St,3,h,2150000.0,S,Nelson,27/11/2016,3.5,3068.0,3.0,2.0,0.0,202.0,307.0,1898.0,Yarra,-37.7835,144.9867,Northern Metropolitan,6244.0
2612,Fitzroy North,5/118 Miller St,2,h,650000.0,PI,Nelson,28/08/2016,3.5,3068.0,2.0,1.0,1.0,0.0,75.0,1980.0,Yarra,-37.777,144.9838,Northern Metropolitan,6244.0
2616,Flemington,96 Bryant St,2,h,865500.0,S,Nelson,3/09/2016,4.4,3031.0,2.0,1.0,1.0,168.0,,,Moonee Valley,-37.7835,144.9339,Northern Metropolitan,3593.0
2620,Flemington,1/142 Shields St,1,u,280000.0,VB,Nelson,4/03/2017,4.4,3031.0,1.0,1.0,1.0,0.0,,1970.0,Moonee Valley,-37.7839,144.9347,Northern Metropolitan,3593.0
2624,Flemington,11 Finsbury St,3,h,1130000.0,S,Nelson,8/10/2016,4.4,3031.0,3.0,1.0,0.0,294.0,140.0,1900.0,Moonee Valley,-37.7856,144.9292,Northern Metropolitan,3593.0
2628,Flemington,59 Victoria St,2,h,730000.0,SP,Nelson,10/09/2016,4.4,3031.0,2.0,1.0,1.0,140.0,98.0,1890.0,Moonee Valley,-37.7867,144.9342,Northern Metropolitan,3593.0
2632,Flemington,61 Canterbury St,3,h,1012000.0,S,Australian,13/08/2016,4.4,3031.0,3.0,1.0,1.0,212.0,102.0,1930.0,Moonee Valley,-37.7818,144.9247,Northern Metropolitan,3593.0
2636,Flemington,1/4 Chatham St,3,h,1205000.0,S,Rendina,15/10/2016,4.4,3031.0,3.0,2.0,2.0,0.0,,,Moonee Valley,-37.7826,144.9261,Northern Metropolitan,3593.0
2640,Flemington,12/132 Princes St,2,u,556000.0,S,Woodards,16/07/2016,4.4,3031.0,2.0,2.0,1.0,0.0,79.0,2009.0,Moonee Valley,-37.784,144.9356,Northern Metropolitan,3593.0
2644,Flemington,114 Shields St,2,h,957000.0,SP,Nelson,22/05/2016,4.4,3031.0,2.0,1.0,0.0,165.0,,,Melbourne,-37.7847,144.9341,Northern Metropolitan,3593.0
2648,Flemington,5/69 Edinburgh St,2,u,350000.0,VB,Jellis,26/07/2016,4.4,3031.0,2.0,1.0,1.0,0.0,,1970.0,Moonee Valley,-37.7857,144.9244,Northern Metropolitan,3593.0
2652,Footscray,202/51 Gordon St,1,u,85000.0,PI,Burnham,3/09/2016,6.4,3011.0,1.0,1.0,0.0,0.0,,2007.0,Maribyrnong,-37.7911,144.89,Western Metropolitan,7570.0
2656,Footscray,25 Southampton St,3,h,840000.0,S,Sweeney,3/12/2016,6.4,3011.0,3.0,1.0,0.0,164.0,93.0,1900.0,Maribyrnong,-37.7959,144.8863,Western Metropolitan,7570.0
2660,Footscray,8 Buckingham St,3,h,876000.0,S,Jas,4/03/2017,6.4,3011.0,3.0,2.0,2.0,204.0,106.0,1990.0,Maribyrnong,-37.8012,144.8921,Western Metropolitan,7570.0
2664,Footscray,1/30 Pickett St,2,u,305000.0,PI,Burnham,4/03/2017,6.4,3011.0,2.0,1.0,1.0,47.0,35.0,2013.0,Maribyrnong,-37.8014,144.8959,Western Metropolitan,7570.0
2668,Footscray,6/114 Commercial Rd,1,u,291000.0,PI,Sweeney,7/05/2016,6.4,3011.0,1.0,1.0,1.0,665.0,46.0,1970.0,Maribyrnong,-37.7978,144.8918,Western Metropolitan,7570.0
2672,Footscray,11 Commercial Rd,3,h,930000.0,PI,Sweeney,8/10/2016,6.4,3011.0,3.0,1.0,3.0,413.0,,,Maribyrnong,-37.7931,144.893,Western Metropolitan,7570.0
2676,Footscray,6/11 Nicholson St,3,u,480000.0,S,Nelson,8/10/2016,6.4,3011.0,3.0,1.0,1.0,0.0,90.0,1985.0,Maribyrnong,-37.7949,144.9007,Western Metropolitan,7570.0
2680,Footscray,1 Stanlake St,4,h,1300000.0,S,hockingstuart,10/12/2016,6.4,3011.0,4.0,2.0,3.0,0.0,190.0,1950.0,Maribyrnong,-37.7923,144.8848,Western Metropolitan,7570.0
2684,Footscray,13/2 Saltriver Pl,3,u,674000.0,S,Jellis,11/02/2017,6.4,3011.0,3.0,2.0,1.0,8680.0,,,Maribyrnong,-37.8016,144.9082,Western Metropolitan,7570.0
2688,Footscray,2/15 Geelong Rd,2,h,575000.0,S,Burnham,12/11/2016,6.4,3011.0,2.0,1.0,1.0,162.0,,2000.0,Maribyrnong,-37.796,144.899,Western Metropolitan,7570.0
2692,Footscray,4/5 Empire St,2,u,295000.0,SP,Gunn&Co,15/10/2016,6.4,3011.0,2.0,1.0,1.0,0.0,69.0,1960.0,Maribyrnong,-37.7903,144.891,Western Metropolitan,7570.0
2696,Footscray,105/72 Cross St,1,u,375000.0,S,Biggin,16/04/2016,6.4,3011.0,1.0,1.0,1.0,0.0,50.0,1920.0,Maribyrnong,-37.8006,144.881,Western Metropolitan,7570.0
2700,Footscray,45 Droop St,3,h,1045000.0,S,Sweeney,16/07/2016,6.4,3011.0,3.0,2.0,2.0,384.0,,,Maribyrnong,-37.7976,144.8976,Western Metropolitan,7570.0
2704,Footscray,8/33 Gordon St,1,u,305000.0,S,Burnham,17/09/2016,6.4,3011.0,1.0,1.0,1.0,59.0,70.0,1965.0,Maribyrnong,-37.7903,144.8899,Western Metropolitan,7570.0
2708,Footscray,88 Victoria St,3,h,875000.0,S,Village,18/03/2017,6.4,3011.0,3.0,1.0,0.0,262.0,92.0,,Maribyrnong,-37.8022,144.8924,Western Metropolitan,7570.0
2712,Footscray,224 Ballarat Rd,2,h,690500.0,SP,Rendina,19/11/2016,6.4,3011.0,2.0,1.0,1.0,212.0,98.0,1900.0,Maribyrnong,-37.7903,144.8879,Western Metropolitan,7570.0
2716,Footscray,35 Leander St,2,h,835000.0,SP,Jas,22/08/2016,6.4,3011.0,2.0,1.0,1.0,222.0,109.0,1920.0,Maribyrnong,-37.7962,144.8844,Western Metropolitan,7570.0
2720,Footscray,2/25 Stanlake St,3,t,699000.0,S,Jas,24/09/2016,6.4,3011.0,3.0,1.0,1.0,125.0,113.0,2000.0,Maribyrnong,-37.7922,144.8831,Western Metropolitan,7570.0
2724,Footscray,3/22 Pickett St,2,u,360000.0,S,Trimson,25/02/2017,6.4,3011.0,2.0,1.0,1.0,0.0,,,Maribyrnong,-37.8012,144.8964,Western Metropolitan,7570.0
2728,Footscray,23 Moore St,2,h,800000.0,S,Village,27/06/2016,6.4,3011.0,2.0,1.0,2.0,260.0,,1940.0,Maribyrnong,-37.7969,144.9042,Western Metropolitan,7570.0
2732,Footscray,4 Adelaide St,4,h,1225000.0,SP,Nelson,27/11/2016,6.4,3011.0,4.0,2.0,1.0,319.0,130.0,1915.0,Maribyrnong,-37.7943,144.8875,Western Metropolitan,7570.0
2736,Footscray,116/55 Hopkins St,2,u,395000.0,SP,Greg,28/05/2016,6.4,3011.0,2.0,2.0,1.0,0.0,79.0,2009.0,Maribyrnong,-37.8006,144.9053,Western Metropolitan,7570.0
2740,Footscray,119 Droop St,2,h,745000.0,S,Village,30/07/2016,6.4,3011.0,2.0,1.0,1.0,355.0,74.0,1890.0,Maribyrnong,-37.7931,144.8938,Western Metropolitan,7570.0
2744,Glen Iris,11 Vincent St,4,h,3400000.0,VB,Kay,3/09/2016,9.2,3146.0,4.0,3.0,2.0,856.0,265.0,1920.0,Stonnington,-37.8628,145.0436,Southern Metropolitan,10412.0
2748,Glen Iris,4/58 Bath Rd,2,u,671000.0,S,Noel,4/03/2017,9.2,3146.0,2.0,1.0,1.0,0.0,85.0,1960.0,Boroondara,-37.8555,145.0889,Southern Metropolitan,10412.0
2752,Glen Iris,48 Alfred Rd,3,h,1530000.0,S,Jellis,4/06/2016,9.2,3146.0,3.0,1.0,1.0,753.0,118.0,1940.0,Boroondara,-37.8543,145.0889,Southern Metropolitan,10412.0
2756,Glen Iris,56 Gardiner Pde,5,h,2175000.0,S,Fletchers,4/06/2016,9.2,3146.0,5.0,3.0,4.0,619.0,327.0,2003.0,Boroondara,-37.8554,145.0611,Southern Metropolitan,10412.0
2760,Glen Iris,1/23 Aintree Rd,2,u,550000.0,SP,Jellis,7/05/2016,9.2,3146.0,2.0,1.0,1.0,0.0,63.0,1968.0,Stonnington,-37.8567,145.0435,Southern Metropolitan,10412.0
2764,Glen Iris,73 Pascoe St,3,h,1700000.0,S,Jellis,7/05/2016,9.2,3146.0,3.0,2.0,2.0,625.0,188.0,1951.0,Boroondara,-37.8602,145.0925,Southern Metropolitan,10412.0
2768,Glen Iris,192 Tooronga Rd,4,h,2077000.0,S,RT,7/11/2016,9.2,3146.0,4.0,2.0,3.0,553.0,143.0,1910.0,Boroondara,-37.8589,145.0413,Southern Metropolitan,10412.0
2772,Glen Iris,39 Welfare Pde,4,h,1550000.0,S,Marshall,8/10/2016,9.2,3146.0,3.0,2.0,2.0,662.0,,,Boroondara,-37.8588,145.0832,Southern Metropolitan,10412.0
2776,Glen Iris,51 Dent St,4,h,2020000.0,PI,Marshall,10/09/2016,9.2,3146.0,4.0,2.0,2.0,630.0,351.0,2009.0,Boroondara,-37.8667,145.0752,Southern Metropolitan,10412.0
2780,Glen Iris,26 Gardiner Pde,4,h,2975000.0,S,Marshall,10/12/2016,9.2,3146.0,4.0,3.0,4.0,0.0,30.0,1930.0,Boroondara,-37.8541,145.0643,Southern Metropolitan,10412.0
2784,Glen Iris,1/33 Yeovil Rd,3,t,1625000.0,S,Jellis,10/12/2016,9.2,3146.0,3.0,2.0,2.0,365.0,,,Boroondara,-37.8526,145.0853,Southern Metropolitan,10412.0
2788,Glen Iris,1/146 Glen Iris Rd,2,u,710000.0,VB,Jellis,12/11/2016,9.2,3146.0,2.0,1.0,2.0,123.0,,,Boroondara,-37.8567,145.0666,Southern Metropolitan,10412.0
2792,Glen Iris,20 Howie St,3,h,1875000.0,S,Marshall,13/08/2016,9.2,3146.0,3.0,2.0,3.0,607.0,,,Boroondara,-37.8534,145.0735,Southern Metropolitan,10412.0
